STORAGE[GWh],JUDGE ENERGY STORAGE PER[%],YEARLY POWER GENERATION[GWh],2017[GWh],2018[GWh],2019[GWh],2020[GWh],2021[GWh],2022[GWh]
90.0,60,1049.261745667032,136.1443619951089,226.91196780031134,226.33166769205715,128.97730122628928,181.10939868877165,149.78704826449388
90.0,65,1041.6569805041433,142.2225107860982,248.92668863001327,211.97711271267164,110.6871977188251,173.33933066169863,154.50413999483652
90.0,70,1107.8560555166948,151.13691954751397,253.42522037589316,229.93881412275064,108.1655660261709,202.26432476019804,162.92521068416835
90.0,75,1080.1604536546752,138.55239042567865,235.94899466135016,247.82833683381682,117.48615715983087,176.8343339951815,163.510240578817
90.0,80,1095.1453197922522,136.81038897204442,250.15811633828804,232.26538371853903,121.78557951373597,183.09625777131396,171.0295934783308
90.0,85,1088.5146076772137,146.3673028161753,238.0259992140973,216.2561229295359,132.39654287065227,186.42765662100913,169.04098322574362
90.0,90,1126.355100410209,153.0536619538076,252.89424946618055,228.76239535750884,136.30447195667395,197.38629439627206,157.95402727976608
90.0,95,1092.8017800846903,143.28029708638655,242.7576764949296,230.71669341038447,111.77101943837447,198.41773588578812,165.85835776882706
90.0,100,1087.3292265573218,145.9134405324118,244.10844931685205,234.43232071633457,112.3937945951867,195.58949666384393,154.89172473269278
100.0,20,626.9880999384043,93.64354656037018,132.85074150853242,124.10572646047024,68.7946745835149,115.1366267250477,92.45678410046887
100.0,25,754.3806903853176,102.44096776867633,168.15726595192703,165.1424578843597,76.49706024235212,121.74783072005516,120.39510781794725
100.0,30,833.8991501521574,112.39586208474476,181.90258866058034,182.08136117692885,87.52926060824727,142.42252806615699,127.56754955549911
100.0,35,896.5874593006711,122.6817119030972,202.15592345108774,188.32440113273125,100.85465847174036,150.62949758292098,131.94126675909337
100.0,40,988.7913355987057,131.26357141206213,227.11210218876286,210.07901728977558,121.90784640619954,163.14768463693983,135.2811136649657
100.0,45,986.4228558798407,116.29658231442224,219.24331388267518,224.56012301741742,103.39969839101842,176.33344247559307,146.58969579871444
100.0,50,1019.3079117789842,131.2925423631728,216.339325041782,214.80683337289776,117.74323078018287,185.95021447265017,153.17576574829877
100.0,55,1047.3026378909494,135.54766920496257,226.16344614384067,226.77565014364455,128.14238698495006,181.15662892085192,149.51685649269953
100.0,60,1066.5539985638147,142.9112844066417,252.03567486628143,213.97676445735468,111.0244458646721,190.75995967631772,155.8458692925471
100.0,65,1078.6567772560807,133.81240618352766,256.700753113404,233.6728560878898,110.19895833786384,178.4115448085856,165.86025872480963
100.0,70,1082.2813371086852,132.47007347969694,241.20785784876858,241.09378526387133,120.66840748946274,181.20108157046042,165.64013145642502
100.0,75,1099.2994659619735,140.54038168686503,256.02232400715957,224.8804204996535,129.76499836057755,184.3151322962831,163.7762091114349
100.0,80,1099.6031909179442,148.47877832402258,246.71212285971453,223.55625940531752,134.00417579230546,192.59425869519364,154.2575958413905
